                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.51736,                0.32209,                 1.0088,                0.91557,                0.77828,                0.86621,                0.71803,                0.67858,                 0.5587,                 1.0673,               0.003466,               0.003466,               0.003466
                    134,                0.52476,                 0.3344,                 1.0029,                0.91218,                0.79905,                0.87247,                0.72585,                0.64471,                0.54263,                 1.0437,              0.0034165,              0.0034165,              0.0034165
                    135,                0.51964,                0.32915,                 1.0095,                0.89038,                0.77185,                0.86092,                0.71907,                0.65963,                 0.5792,                 1.0285,               0.003367,               0.003367,               0.003367
                    136,                0.50827,                0.32475,                 1.0218,                0.90195,                 0.8009,                0.86967,                 0.7204,                0.67668,                0.55718,                 1.0403,              0.0033175,              0.0033175,              0.0033175
                    137,                0.48888,                 0.3172,                0.99117,                0.91634,                0.79301,                0.87253,                0.73382,                0.63258,                0.52642,                 1.0189,               0.003268,               0.003268,               0.003268
                    138,                0.51758,                0.32611,                 1.0075,                0.90568,                0.79186,                0.87184,                0.72315,                0.67011,                 0.5464,                  1.039,              0.0032185,              0.0032185,              0.0032185
                    139,                0.48536,                0.31832,                 1.0054,                0.86517,                  0.819,                0.86067,                0.71383,                0.67972,                0.52782,                  1.044,               0.003169,               0.003169,               0.003169
                    140,                0.48639,                0.32049,                 1.0077,                0.90595,                0.80995,                0.86795,                0.71112,                0.65912,                 0.4959,                 1.0223,              0.0031195,              0.0031195,              0.0031195
                    141,                0.50495,                0.33456,                 0.9982,                0.89749,                0.78733,                0.86594,                0.71291,                0.64219,                0.56109,                 1.0195,                0.00307,                0.00307,                0.00307
                    142,                0.48133,                0.30587,                0.98903,                0.88591,                0.79186,                0.86962,                0.72129,                0.63926,                0.54268,                 1.0201,              0.0030205,              0.0030205,              0.0030205
                    143,                0.48916,                0.31705,                 1.0032,                0.91159,                0.79311,                0.86704,                0.71545,                0.69976,                0.57491,                 1.0684,               0.002971,               0.002971,               0.002971
                    144,                0.49348,                 0.3175,                  0.996,                0.91223,                0.79953,                0.87496,                0.71276,                0.68057,                0.55501,                 1.0475,              0.0029215,              0.0029215,              0.0029215
                    145,                0.49992,                0.32083,                0.99527,                 0.9247,                 0.8009,                0.87077,                0.70863,                0.67349,                0.55912,                 1.0694,               0.002872,               0.002872,               0.002872
                    146,                0.49821,                 0.3126,                0.99534,                0.90791,                0.80301,                0.87259,                0.71873,                 0.6394,                0.53599,                 1.0317,              0.0028225,              0.0028225,              0.0028225
                    147,                0.48237,                 0.3182,                  1.008,                0.91332,                0.79186,                0.88585,                0.72672,                0.67256,                0.54588,                 1.0479,               0.002773,               0.002773,               0.002773
                    148,                 0.4753,                0.31316,                 1.0067,                0.93399,                0.76923,                0.88652,                0.72492,                0.67046,                0.51948,                 1.0449,              0.0027235,              0.0027235,              0.0027235
                    149,                0.49664,                 0.3164,                0.98384,                0.87678,                 0.8009,                0.88431,                0.72966,                0.65561,                0.51416,                  1.034,               0.002674,               0.002674,               0.002674
                    150,                0.48724,                0.31596,                0.99576,                0.89369,                0.80543,                0.87379,                0.72412,                0.65021,                 0.5497,                 1.0333,              0.0026245,              0.0026245,              0.0026245
                    151,                0.46584,                 0.3059,                0.99705,                0.85098,                 0.8552,                0.87217,                0.71996,                0.65638,                0.51111,                 1.0357,               0.002575,               0.002575,               0.002575
                    152,                0.46734,                0.30211,                0.97794,                0.87192,                0.82353,                0.86908,                0.72079,                0.63566,                0.50662,                 1.0301,              0.0025255,              0.0025255,              0.0025255
                    153,                0.47499,                0.30354,                0.99079,                0.85872,                0.82353,                0.86713,                0.71535,                0.64304,                0.53026,                 1.0266,               0.002476,               0.002476,               0.002476
